2039	3	2
2040	3	4
2041	4	2
2042	1	3
2043	0	2
2044	1	6
2045	1	4
2046	1	5
2047	1	1
2048	1	5
2049	1	3
2050	2	8
2051	1	3
2052	0	5
2053	0	6
2054	0	5
2055	0	3
2056	2	6
2057	1	6
2058	2	7
2059	0	8
2060	0	2
2061	1	4
2062	1	5
2063	1	8
2064	1	9
2065	0	3
2066	1	1
2067	0	3
2068	0	3
2069	0	4
2070	1	2
2071	0	6
2072	0	4
2073	1	9
2074	2	4
2075	0	5
2076	0	3
2077	0	5
2078	2	2
2079	0	3
2080	0	5
2081	3	4
2082	0	8
2083	0	4
2084	1	5
2085	1	4
2087	4	4
2088	5	4
2089	1	0
2090	0	2
2091	0	4
2092	1	8
2093	3	6
2094	0	6
2095	1	4
2096	1	2
2097	0	5
2098	1	7
2099	2	5
2100	0	5
2101	1	6
2102	0	5
2103	0	7
2104	0	5
2105	1	2
2106	0	5
2107	2	3
2108	3	7
2109	0	4
2110	2	9
2111	0	7
2112	1	14
2113	1	3
2114	2	2
2115	2	6
2116	2	10
2117	1	3
2118	0	9
2119	1	5
2120	1	8
2121	0	3
2122	1	3
2123	2	4
2124	2	3
2125	1	3
2126	0	3
2127	0	6
2128	0	1
2129	0	3
2130	0	2
2131	0	3
2132	0	5
2133	0	5
2134	2	6
2135	1	9
2136	1	3
2137	2	4
2138	0	5
2139	0	3
2140	1	1
2141	0	4
2142	0	1
2143	0	2
2144	0	5
2145	0	3
2147	2	1
2148	0	2
2149	0	6
2150	0	1
2151	0	3
2152	2	2
2153	1	3
2154	0	2
2155	0	3
